seed,query_index,query_id,affected_by_drift,old_policy_correct,old_policy_action,adapted_policy_correct,adapted_policy_action,full_retrain_policy_correct,full_retrain_policy_action
1,46,doc-q-046,False,1,0,1,0,1,0
1,47,doc-q-047,True,0,0,1,1,1,1
1,48,doc-q-048,False,1,0,1,0,1,0
1,49,doc-q-049,True,0,0,1,1,1,1
1,50,doc-q-050,True,0,0,1,1,1,1
1,51,doc-q-051,True,0,0,1,1,1,1
1,52,doc-q-052,False,1,0,1,1,1,1
1,53,doc-q-053,False,1,0,1,0,0,1
1,54,doc-q-054,False,1,0,1,0,1,0
1,55,doc-q-055,False,1,0,1,0,1,0
1,56,doc-q-056,False,1,0,1,1,1,1
1,57,doc-q-057,False,1,0,1,1,1,1
1,58,doc-q-058,True,0,0,1,1,1,1
1,59,doc-q-059,False,1,0,1,1,1,1
1,60,doc-q-060,True,0,0,0,1,0,1
1,61,doc-q-061,False,1,0,0,1,1,0
1,62,doc-q-062,False,1,0,1,1,1,1
1,63,doc-q-063,False,1,0,1,1,1,0
1,64,doc-q-064,True,0,0,1,1,1,1
1,65,doc-q-065,False,1,0,1,1,1,1
1,66,doc-q-066,False,1,0,1,1,1,1
1,67,doc-q-067,False,1,0,1,1,1,1
1,68,doc-q-068,False,1,0,1,1,1,1
1,69,doc-q-069,False,1,0,1,1,1,1
1,70,doc-q-070,False,1,0,1,1,1,1
1,71,doc-q-071,False,1,0,1,1,1,1
1,72,doc-q-072,False,1,0,1,1,1,1
1,73,doc-q-073,False,1,0,1,1,1,1
1,74,doc-q-074,False,1,0,1,0,1,0
1,75,doc-q-075,True,0,0,1,1,1,1
1,76,doc-q-076,True,0,0,1,1,1,1
1,77,doc-q-077,True,0,0,1,1,1,1
1,78,doc-q-078,True,0,0,1,1,1,1
1,79,doc-q-079,True,0,0,1,1,1,1
1,80,doc-q-080,True,0,0,1,1,1,1
1,81,doc-q-081,True,0,0,1,1,1,1
1,82,doc-q-082,True,0,0,1,1,1,1
1,83,doc-q-083,True,0,0,1,1,1,1
1,84,doc-q-084,True,0,0,0,1,0,1
1,85,doc-q-085,True,0,0,1,1,1,1
1,86,doc-q-086,True,0,0,1,1,1,1
1,87,doc-q-087,True,0,0,1,1,1,1
1,88,doc-q-088,False,1,0,1,0,1,0
1,89,doc-q-089,False,1,0,1,0,1,0
1,90,doc-q-090,False,1,0,1,0,1,0
1,91,doc-q-091,False,1,0,1,1,1,1
1,92,doc-q-092,True,0,0,1,1,1,1
1,93,doc-q-093,False,1,0,1,0,0,1
1,94,doc-q-094,False,1,0,1,0,1,0
1,95,doc-q-095,False,1,0,0,1,0,1
1,96,doc-q-096,True,0,0,1,1,1,1
1,97,doc-q-097,False,1,0,1,1,1,1
1,98,doc-q-098,False,1,0,1,0,1,1
1,99,doc-q-099,False,1,0,1,0,1,0
1,100,doc-q-100,True,0,0,0,1,0,1
1,101,doc-q-101,True,0,0,0,1,0,1
1,102,doc-q-102,True,0,0,0,1,0,1
1,103,doc-q-103,True,0,0,0,1,0,1
1,104,doc-q-104,False,1,0,1,0,1,0
1,105,doc-q-105,True,0,0,1,1,1,1
1,106,doc-q-106,False,1,0,1,0,1,0
1,107,doc-q-107,True,0,0,1,1,1,1
1,108,doc-q-108,False,1,0,1,1,1,1
1,109,doc-q-109,True,0,0,1,1,1,1
1,110,doc-q-110,False,1,0,1,1,1,1
1,111,doc-q-111,True,0,0,0,1,0,1
1,112,doc-q-112,False,1,0,1,1,1,1
1,113,doc-q-113,False,1,0,1,1,1,1
1,114,doc-q-114,False,1,0,1,1,1,1
1,115,doc-q-115,True,0,0,1,1,1,1
1,116,doc-q-116,False,1,0,1,0,1,1
1,117,doc-q-117,False,1,0,1,0,1,0
1,118,doc-q-118,True,0,0,1,1,1,1
1,119,doc-q-119,False,1,0,0,1,0,1
1,120,doc-q-120,True,0,0,1,1,1,1
1,121,doc-q-121,False,1,0,0,1,0,1
1,122,doc-q-122,True,0,0,1,1,1,1
1,123,doc-q-123,False,1,0,0,1,0,1
1,124,doc-q-124,True,0,0,1,1,1,1
1,125,doc-q-125,False,1,0,0,1,0,1
1,126,doc-q-126,True,0,0,1,1,1,1
1,127,doc-q-127,False,1,0,1,0,1,0
1,128,doc-q-128,True,0,0,1,1,1,1
1,129,doc-q-129,True,0,0,1,1,1,1
1,130,doc-q-130,False,1,0,1,0,1,0
1,131,doc-q-131,False,1,0,1,1,1,1
1,132,doc-q-132,True,0,0,1,1,1,1
1,133,doc-q-133,False,1,0,1,0,1,0
1,134,doc-q-134,True,0,0,0,0,0,1
1,135,doc-q-135,False,1,0,1,1,1,0
1,136,doc-q-136,True,0,0,1,1,1,1
1,137,doc-q-137,True,0,0,1,1,1,1
1,138,doc-q-138,False,1,0,1,1,1,1
1,139,doc-q-139,False,1,0,1,1,1,1
1,140,doc-q-140,False,1,0,1,0,1,0
1,141,doc-q-141,True,0,0,1,1,1,1
1,142,doc-q-142,True,0,0,1,1,1,1
1,143,doc-q-143,False,1,0,1,1,1,1
1,144,doc-q-144,False,1,0,1,0,1,0
1,145,doc-q-145,False,1,0,1,0,1,0
1,146,doc-q-146,True,0,0,1,1,1,1
1,147,doc-q-147,True,0,0,1,1,1,1
1,148,doc-q-148,True,0,0,1,1,1,1
1,149,doc-q-149,False,1,0,1,1,1,1
1,150,doc-q-150,False,1,0,1,0,1,0
1,151,doc-q-151,False,1,0,1,0,1,1
1,152,doc-q-152,True,0,0,1,1,1,1
1,153,doc-q-153,True,1,1,1,1,1,1
1,154,doc-q-154,True,0,0,1,1,1,1
1,155,doc-q-155,True,0,0,1,1,1,1
1,156,doc-q-156,False,1,1,1,1,1,1
